foto,alt,data_name,numdovoo,nomedovoo,pasta1,pasta2,mrk_folder,FlightYawDegree,abrupt_change_flag,LRFStatus,GimbalRollDegree,format,GpsStatus,DroneModel,dt_time,segmentos_total,light_source_classification,distance_3d_previous,ExifImageHeight,photogrammetry_quality_index,trajectory_smoothness,incidence_angle,LRFTargetAlt,speed_variation_index,DateTimeOriginal,file,YResolution,CameraSerialNumber,FNumber,dt_date,gimbal_angular_velocity,linear_velocity_instant,RtkDiffAge,rtk_effective_precision,FlightXSpeed,ShutterSpeedValue,FocusDistance,ShutterCount,path,LRFTargetAbsAlt,yaw_alignment_error,avg_velocity_between_photos,shutter_life_pct,FolderLevel2,LensTemperature,geodesic_distance_previous,AltitudeType,CaptureUUID,GimbalYawDegree,RtkStdHgt,FlightRollDegree,DigitalZoomRatio,speed_3d_kmh,dt_full,GPSMapDatum,RtkStdLon,LensPosition,predicted_overlap,SensorFPS,Model,FlightName,is_ideal_overlap,LRFTargetLon,orthorectification_potential,lon,ExposureMode,DroneSerialNumber,XResolution,mrk_path,ISOSpeedRatings,motion_blur_risk,FlightPitchDegree,DewarpFlag,displacement_direction,SensorTemperature,total_heat_index,AbsoluteAltitude,FlightZSpeed,RelativeAltitude,FileType,ExposureTime,RtkStdLat,UTCAtExposure,capture_efficiency,vertical_stability,LRFTargetDistance,exposure_value_ev,LRFTargetLat,PictureQuality,RtkFlag,size_mb,rtk_stability_score,estimated_coverage,lat,ApertureValue,ground_sample_distance_cm,GimbalOffset,ExifImageWidth,Software,LensSpecification,FocalLength,MaxApertureValue,GimbalPitchDegree,FlightYSpeed,RecommendedExposureIndex,mrk_file,strip_id,3DSpeed,LightSource,light_consistency,GpsLatitude,ExposureProgram,time_since_previous,FlightNumber,GpsLongitude,FolderLevel1,WhiteBalanceCCT
1,986.086,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-17.50",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1329",,Daylight,"0.0","3956","35","0.0","91.8","0.000","0.0",2026:04:01 13:29:05,DJI_20260401132905_0001_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0","0.2449","1.00000",M̩dia,"0.2","7.9658","15371","51355",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401132905_0001_V.JPG,"0.000","0.0","0.0","12.8387",NULL,,"0.0",RtkAlt,,"+163.80","0.03745","-1.30","1.0","0.9","202604011329",WGS-84,"0.01301",,"0.0",,M3E,m2,False,"0.0000000","15",,"0",1581F5FH82577002N061,"72.0",,"110","0.0101","-1.80",,"0.0",,"0.0","+986.086","0.1","+186.209",.JPG,"0.004","0.01268",2026-04-01T16:29:24.618304,"0.0","0.0","0.000","10.9366","0.0000000","90","50","12.78","0.0","(600.9588, 450.2639)",,"2.97","9.6745","1.3","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-0.1",,,"1","0.2449","1",Unknown,"(13.0, 40.0, 44.5064)","2","0.0","001","(45.0, 37.0, 41.6761)",DJI_202604011322_001_m2,
2,986.026,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",True,Normal,"+0.00",MPO_RGB,RTK,M3E,"1329",,Daylight,"0.06","3956","45","0.0","103.0","0.000","0.9628",2026:04:01 13:29:13,DJI_20260401132913_0002_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","22.2875","12.9341","0.80000",M̩dia,"12.3","8.9658","15371","51356",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401132913_0002_V.JPG,"0.000","18.0","0.0075","12.839",NULL,,"0.0",RtkAlt,,"-17.90","0.03719","+0.20","1.0","46.6","202604011329",WGS-84,"0.01292",,"100.0",,M3E,m2,True,"0.0000000","25",,"0",1581F5FH82577002N061,"72.0",,"270","0.2674","-13.10",,"0.0",,"0.0","+986.026","0.0","+186.176",.JPG,"0.002","0.01241",2026-04-01T16:29:31.670920,"0.0","0.06","0.000","11.9366","0.0000000","90","50","12.84","99.9793","(600.9223, 450.2365)",,"2.97","9.6739","0.1","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-89.90","-4.0",,,"1","12.9341","1",Unknown,"(13.0, 40.0, 42.9132)","2","8.0","001","(45.0, 37.0, 42.2143)",DJI_202604011322_001_m2,
3,986.045,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.10",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1329",,Daylight,"0.019","3956","45","0.0","101.2","0.000","0.0715",2026:04:01 13:29:16,DJI_20260401132916_0003_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","60.0","14.9265","1.40000",M̩dia,"14.2","8.9658","15371","51357",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401132916_0003_V.JPG,"0.000","18.1","0.0063","12.8392",NULL,,"0.0",RtkAlt,,"+162.10","0.03691","+0.60","1.0","53.7","202604011329",WGS-84,"0.01277",,"100.0",,M3E,m2,True,"0.0000000","25",,"0",1581F5FH82577002N061,"72.0",,"200","0.3086","-11.20",,"0.0",,"0.0","+986.045","0.0","+186.170",.JPG,"0.002","0.01226",2026-04-01T16:29:35.179397,"0.0","0.019","0.000","11.9366","0.0000000","90","50","12.53","99.9807","(600.9339, 450.2451)",,"2.97","9.6741","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-4.6",,,"1","14.9265","1",Unknown,"(13.0, 40.0, 41.3767)","2","3.0","001","(45.0, 37.0, 42.7293)",DJI_202604011322_001_m2,
4,986.013,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1329",,Daylight,"0.032","3956","45","0.0","100.5","0.000","0.0032",2026:04:01 13:29:19,DJI_20260401132919_0004_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0","14.8314","1.60000",M̩dia,"14.1","8.9658","15371","51358",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401132919_0004_V.JPG,"0.000","18.0","0.0107","12.8395",NULL,,"0.0",RtkAlt,,"+162.10","0.03666","+0.00","1.0","53.4","202604011329",WGS-84,"0.01270",,"100.0",,M3E,m2,True,"0.0000000","25",,"0",1581F5FH82577002N061,"72.0",,"210","0.3066","-10.50",,"0.0",,"0.0","+986.013","0.0","+186.183",.JPG,"0.002","0.01220",2026-04-01T16:29:38.489900,"0.0","0.032","0.000","11.9366","0.0000000","90","50","12.67","99.9873","(600.9144, 450.2305)",,"2.97","9.6738","0.1","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-4.6",,,"1","14.8314","1",Unknown,"(13.0, 40.0, 39.8474)","2","3.0","001","(45.0, 37.0, 43.239)",DJI_202604011322_001_m2,
5,985.988,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1329",,Daylight,"0.025","3956","45","0.0","100.8","0.000","0.0032",2026:04:01 13:29:23,DJI_20260401132923_0005_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.025","14.9265","1.00000",M̩dia,"14.2","8.9658","15371","51359",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401132923_0005_V.JPG,"0.000","18.0","0.0062","12.8398",NULL,,"0.0",RtkAlt,,"+162.20","0.03666","+0.80","1.0","53.7","202604011329",WGS-84,"0.01276",,"100.0",,M3E,m2,True,"0.0000000","25",,"0",1581F5FH82577002N061,"72.0",,"190","0.3086","-10.80",,"0.0",,"0.0","+985.988","0.0","+186.154",.JPG,"0.002","0.01225",2026-04-01T16:29:41.786293,"0.0","0.025","0.000","11.9366","0.0000000","90","50","12.34","99.9963","(600.8991, 450.2191)",,"2.97","9.6736","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-4.6",,,"1","14.9265","1",Unknown,"(13.0, 40.0, 38.3305)","2","4.0","001","(45.0, 37.0, 43.7487)",DJI_202604011322_001_m2,
6,985.998,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+0.00",MPO_RGB,RTK,M3E,"1329",,Fluorescent,"0.01","3956","45","0.0","100.4","0.000","0.0",2026:04:01 13:29:26,DJI_20260401132926_0006_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","60.0","14.9265","1.20000",M̩dia,"14.2","8.9658","15371","51360",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401132926_0006_V.JPG,"0.000","18.0","0.0033","12.84",NULL,,"0.0",RtkAlt,,"-17.80","0.03645","+0.70","1.0","53.7","202604011329",WGS-84,"0.01262",,"100.0",,M3E,m2,True,"0.0000000","25",,"0",1581F5FH82577002N061,"72.0",,"240","0.3086","-10.50",,"0.0",,"0.0","+985.998","0.0","+186.146",.JPG,"0.002","0.01207",2026-04-01T16:29:45.078145,"0.0","0.01","0.000","11.9366","0.0000000","90","50","13.12","99.9823","(600.9052, 450.2237)",,"2.97","9.6737","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-89.90","-4.6",,,"1","14.9265","2",Unknown,"(13.0, 40.0, 36.8113)","2","3.0","001","(45.0, 37.0, 44.2553)",DJI_202604011322_001_m2,
7,986.018,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+180.00",MPO_RGB,RTK,M3E,"1329",,Fluorescent,"0.02","3956","45","0.0","100.5","0.000","0.0",2026:04:01 13:29:29,DJI_20260401132929_0007_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","60.0","14.9265","1.60000",M̩dia,"14.2","8.9658","15371","51361",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401132929_0007_V.JPG,"0.000","18.0","0.0067","12.8403",NULL,,"0.0",RtkAlt,,"+162.20","0.03624","+0.60","1.0","53.7","202604011329",WGS-84,"0.01262",,"100.0",,M3E,m2,True,"0.0000000","25",,"0",1581F5FH82577002N061,"72.0",,"230","0.3086","-10.50",,"0.0",,"0.0","+986.018","0.0","+186.161",.JPG,"0.002","0.01210",2026-04-01T16:29:48.347221,"0.0","0.02","0.000","11.9366","0.0000000","90","50","13.06","99.994","(600.9174, 450.2328)",,"2.97","9.6739","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-90.00","-4.6",,,"1","14.9265","2",Unknown,"(13.0, 40.0, 35.3014)","2","3.0","001","(45.0, 37.0, 44.7588)",DJI_202604011322_001_m2,
8,985.992,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+0.00",MPO_RGB,RTK,M3E,"1329",,Fluorescent,"0.026","3956","45","0.0","100.1","0.000","0.0032",2026:04:01 13:29:33,DJI_20260401132933_0008_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","45.0","14.8314","0.80000",M̩dia,"14.1","8.9658","15371","51362",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401132933_0008_V.JPG,"0.000","18.0","0.0065","12.8405",NULL,,"0.0",RtkAlt,,"-17.80","0.03620","+0.60","1.0","53.4","202604011329",WGS-84,"0.01256",,"100.0",,M3E,m2,True,"0.0000000","25",,"0",1581F5FH82577002N061,"72.0",,"230","0.3066","-10.20",,"0.0",,"0.0","+985.992","0.0","+186.155",.JPG,"0.002","0.01199",2026-04-01T16:29:51.657723,"0.0","0.026","0.000","11.9366","0.0000000","90","50","13.05","99.993","(600.9016, 450.2209)",,"2.97","9.6736","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-89.90","-4.6",,,"1","14.8314","2",Unknown,"(13.0, 40.0, 33.774)","2","4.0","001","(45.0, 37.0, 45.2692)",DJI_202604011322_001_m2,
9,985.987,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+0.00",MPO_RGB,RTK,M3E,"1329",,Fluorescent,"0.005","3956","45","0.0","100.4","0.000","0.0",2026:04:01 13:29:36,DJI_20260401132936_0009_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0","14.8314","1.20000",M̩dia,"14.1","8.9658","15371","51363",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401132936_0009_V.JPG,"0.000","18.0","0.0017","12.8407",NULL,,"0.0",RtkAlt,,"-17.80","0.03594","-0.30","1.0","53.4","202604011329",WGS-84,"0.01243",,"100.0",,M3E,m2,True,"0.0000000","25",,"0",1581F5FH82577002N061,"72.0",,"230","0.3066","-10.50",,"0.0",,"0.0","+985.987","0.0","+186.141",.JPG,"0.002","0.01191",2026-04-01T16:29:54.956391,"0.0","0.005","0.000","11.9366","0.0000000","90","50","12.99","99.9843","(600.8985, 450.2187)",,"2.97","9.6736","0.2","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-89.90","-4.6",,,"1","14.8314","2",Unknown,"(13.0, 40.0, 32.2513)","2","3.0","001","(45.0, 37.0, 45.7777)",DJI_202604011322_001_m2,
10,985.998,"20260401","001",m2,DJI_202604011322_001_m2,NULL,F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2,"-18.00",False,Normal,"+0.00",MPO_RGB,RTK,M3E,"1329",,Fluorescent,"0.011","3956","45","0.0","100.1","0.000","0.0",2026:04:01 13:29:39,DJI_20260401132939_0010_V.JPG,"72.0",493ON344AB04YQ,"2.8","20260401","0.0333","14.8314","1.40000",M̩dia,"14.1","8.9658","15371","51364",F:\AGROCERRADO\Faz Talisma Correntina\INPUT\20260401\M3E\DJI_202604011322_001_m2\DJI_20260401132939_0010_V.JPG,"0.000","18.0","0.0037","12.841",NULL,,"0.0",RtkAlt,,"-17.90","0.03607","+0.30","1.0","53.4","202604011329",WGS-84,"0.01249",,"100.0",,M3E,m2,True,"0.0000000","25",,"0",1581F5FH82577002N061,"72.0",,"220","0.3066","-10.20",,"0.0",,"0.0","+985.998","0.0","+186.142",.JPG,"0.002","0.01194",2026-04-01T16:29:58.226842,"0.0","0.011","0.000","11.9366","0.0000000","90","50","13.01","99.9927","(600.9052, 450.2237)",,"2.97","9.6737","0.1","5280",11.09.08.24,"(0.24, 0.24, 2.8, 11.0)","12.29","2.97","-89.90","-4.6",,,"1","14.8314","2",Unknown,"(13.0, 40.0, 30.7412)","2","3.0","001","(45.0, 37.0, 46.2827)",DJI_202604011322_001_m2,
