PhotoNum,Altitude,FlightNum,FlightNam,UTCTime,XSpeed,Latitude,YSpeed,Longitude,ZSpeed,File,DateTime,class_manu,tiro_id,tiro_val,score,azi_inst,azi_med,del_azi,del_tmp,del_dst,vel_inst
3,508.357000000000028,"004",imp07,2026-03-19T12:29:56.177227,-0.200000000000000,-18.370264270000000,-0.700000000000000,-53.976595519999996,0.000000000000000,DJI_20260319092936_0003_D.JPG,2026-03-19T09:29:36-03:00,"1",1,1,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,508.336000000000013,"004",imp07,2026-03-19T12:30:02.568593,-1.900000000000000,-18.370333899999999,-8.500000000000000,-53.976914540000003,0.000000000000000,DJI_20260319092943_0004_D.JPG,2026-03-19T09:29:43-03:00,"1",1,1,0,257.68758920,257.68758920,0.00000000,6.39136600,34.58425672,5.41109001
5,508.298000000000002,"004",imp07,2026-03-19T12:30:05.793775,-2.300000000000000,-18.370399209999999,-10.000000000000000,-53.977208640000001,0.000000000000000,DJI_20260319092946_0005_D.JPG,2026-03-19T09:29:46-03:00,"1",1,1,0,257.47964993,257.68758920,0.20793927,3.22518206,31.91055421,9.89418695
6,508.252000000000010,"004",imp07,2026-03-19T12:30:08.998000,-2.100000000000000,-18.370464770000002,-9.699999999999999,-53.977506110000000,0.000000000000000,DJI_20260319092949_0006_D.JPG,2026-03-19T09:29:49-03:00,"1",1,1,0,257.57116168,257.58361957,0.01245789,3.20422482,32.26374452,10.06912632
7,508.225999999999999,"004",imp07,2026-03-19T12:30:12.235176,-2.200000000000000,-18.370529210000001,-9.699999999999999,-53.977804780000000,0.000000000000000,DJI_20260319092952_0007_D.JPG,2026-03-19T09:29:52-03:00,"1",1,1,0,257.82469596,257.57946693,0.24522902,3.23717618,32.35976474,9.99629397
8,508.153000000000020,"004",imp07,2026-03-19T12:30:15.362055,-2.200000000000000,-18.370592380000001,-9.699999999999999,-53.978092240000002,0.000000000000000,DJI_20260319092956_0008_D.JPG,2026-03-19T09:29:56-03:00,"1",1,1,0,257.60611842,257.64077417,0.03465575,3.12687898,31.17346183,9.96951339
9,508.137999999999977,"004",imp07,2026-03-19T12:30:18.602749,-2.200000000000000,-18.370658169999999,-9.699999999999999,-53.978390300000001,0.000000000000000,DJI_20260319092959_0009_D.JPG,2026-03-19T09:29:59-03:00,"1",1,1,0,257.55283626,257.63384301,0.08100675,3.24069405,32.33019252,9.97631744
10,508.115000000000009,"004",imp07,2026-03-19T12:30:21.794745,-2.200000000000000,-18.370723009999999,-9.699999999999999,-53.978684190000003,0.000000000000000,DJI_20260319093002_0010_D.JPG,2026-03-19T09:30:02-03:00,"1",1,1,0,257.55833284,257.62034186,0.06200902,3.19199586,31.87712955,9.98658236
11,508.077999999999975,"004",imp07,2026-03-19T12:30:25.010446,-2.100000000000000,-18.370787690000000,-9.699999999999999,-53.978981060000002,0.000000000000000,DJI_20260319093005_0011_D.JPG,2026-03-19T09:30:05-03:00,"1",1,1,0,257.70886740,257.61148342,0.09738398,3.21570110,32.18009731,10.00717924
12,508.057999999999993,"004",imp07,2026-03-19T12:30:28.214099,-2.200000000000000,-18.370852129999999,-9.699999999999999,-53.979277349999997,0.000000000000000,DJI_20260319093008_0012_D.JPG,2026-03-19T09:30:08-03:00,"1",1,1,0,257.72984742,257.62365643,0.10619099,3.20365286,32.11441939,10.02431312
13,508.038999999999987,"004",imp07,2026-03-19T12:30:31.463461,-2.200000000000000,-18.370918860000000,-9.699999999999999,-53.979576729999998,0.000000000000000,DJI_20260319093012_0013_D.JPG,2026-03-19T09:30:12-03:00,"1",1,1,0,257.43451982,257.63545544,0.20093562,3.24936199,32.48957116,9.99875398
14,508.004000000000019,"004",imp07,2026-03-19T12:30:34.555125,-2.100000000000000,-18.370980270000000,-9.699999999999999,-53.979862230000002,0.000000000000000,DJI_20260319093015_0014_D.JPG,2026-03-19T09:30:15-03:00,"1",1,1,0,257.86084491,257.61536188,0.24548304,3.09166408,30.92817669,10.00373130
15,507.973999999999990,"004",imp07,2026-03-19T12:30:37.751583,-2.200000000000000,-18.371044789999999,-9.699999999999999,-53.980157329999997,0.000000000000000,DJI_20260319093018_0015_D.JPG,2026-03-19T09:30:18-03:00,"1",1,1,0,257.66705062,257.63268742,0.03436320,3.19645810,31.99375325,10.00912643
16,507.894999999999982,"004",imp07,2026-03-19T12:30:40.962765,-2.300000000000000,-18.371110290000001,-9.699999999999999,-53.980453410000003,0.000000000000000,DJI_20260319093021_0016_D.JPG,2026-03-19T09:30:21-03:00,"1",1,1,0,257.52570659,257.65142752,0.12572093,3.21118188,32.11901473,10.00224090
17,507.879999999999995,"004",imp07,2026-03-19T12:30:44.173678,-2.200000000000000,-18.371174759999999,-9.699999999999999,-53.980749140000000,0.000000000000000,DJI_20260319093024_0017_D.JPG,2026-03-19T09:30:24-03:00,"1",1,1,0,257.70176954,257.64688201,0.05488754,3.21091294,32.05740097,9.98388980
18,507.882999999999981,"004",imp07,2026-03-19T12:30:47.388955,-2.200000000000000,-18.371240910000001,-9.699999999999999,-53.981044650000001,0.000000000000000,DJI_20260319093028_0018_D.JPG,2026-03-19T09:30:28-03:00,"1",1,1,0,257.38233115,257.63458937,0.25225822,3.21527719,32.07665667,9.97632699
19,507.872000000000014,"004",imp07,2026-03-19T12:30:50.643338,-2.100000000000000,-18.371305809999999,-9.699999999999999,-53.981344730000004,0.000000000000000,DJI_20260319093031_0019_D.JPG,2026-03-19T09:30:31-03:00,"1",1,1,0,257.79627756,257.61221066,0.18406690,3.25438285,32.51619959,9.99151025
